,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
30156,11217410,43818,NIFTY22JUN15700CE,NIFTY,0,2022-06-30,15700.0,0.05,50,CE,NFO-OPT,NFO
30157,11217666,43819,NIFTY22JUN15700PE,NIFTY,0,2022-06-30,15700.0,0.05,50,PE,NFO-OPT,NFO
30158,11220226,43829,NIFTY22JUN15750CE,NIFTY,0,2022-06-30,15750.0,0.05,50,CE,NFO-OPT,NFO
30159,11220994,43832,NIFTY22JUN15750PE,NIFTY,0,2022-06-30,15750.0,0.05,50,PE,NFO-OPT,NFO
30160,11224066,43844,NIFTY22JUN15800CE,NIFTY,0,2022-06-30,15800.0,0.05,50,CE,NFO-OPT,NFO
30161,11224322,43845,NIFTY22JUN15800PE,NIFTY,0,2022-06-30,15800.0,0.05,50,PE,NFO-OPT,NFO
30162,11225858,43851,NIFTY22JUN15850CE,NIFTY,0,2022-06-30,15850.0,0.05,50,CE,NFO-OPT,NFO
30163,11226370,43853,NIFTY22JUN15850PE,NIFTY,0,2022-06-30,15850.0,0.05,50,PE,NFO-OPT,NFO
30164,11226626,43854,NIFTY22JUN15900CE,NIFTY,0,2022-06-30,15900.0,0.05,50,CE,NFO-OPT,NFO
30165,11226882,43855,NIFTY22JUN15900PE,NIFTY,0,2022-06-30,15900.0,0.05,50,PE,NFO-OPT,NFO
30166,14630146,57149,NIFTY22JUN15950CE,NIFTY,0,2022-06-30,15950.0,0.05,50,CE,NFO-OPT,NFO
30167,14630402,57150,NIFTY22JUN15950PE,NIFTY,0,2022-06-30,15950.0,0.05,50,PE,NFO-OPT,NFO
30168,10147074,39637,NIFTY22JUN16000CE,NIFTY,0,2022-06-30,16000.0,0.05,50,CE,NFO-OPT,NFO
30169,10148866,39644,NIFTY22JUN16000PE,NIFTY,0,2022-06-30,16000.0,0.05,50,PE,NFO-OPT,NFO
30170,14630658,57151,NIFTY22JUN16050CE,NIFTY,0,2022-06-30,16050.0,0.05,50,CE,NFO-OPT,NFO
30171,14630914,57152,NIFTY22JUN16050PE,NIFTY,0,2022-06-30,16050.0,0.05,50,PE,NFO-OPT,NFO
30172,14631170,57153,NIFTY22JUN16100CE,NIFTY,0,2022-06-30,16100.0,0.05,50,CE,NFO-OPT,NFO
30173,14631426,57154,NIFTY22JUN16100PE,NIFTY,0,2022-06-30,16100.0,0.05,50,PE,NFO-OPT,NFO
30174,14631682,57155,NIFTY22JUN16150CE,NIFTY,0,2022-06-30,16150.0,0.05,50,CE,NFO-OPT,NFO
30175,14631938,57156,NIFTY22JUN16150PE,NIFTY,0,2022-06-30,16150.0,0.05,50,PE,NFO-OPT,NFO
30176,14632194,57157,NIFTY22JUN16200CE,NIFTY,0,2022-06-30,16200.0,0.05,50,CE,NFO-OPT,NFO
30177,14632450,57158,NIFTY22JUN16200PE,NIFTY,0,2022-06-30,16200.0,0.05,50,PE,NFO-OPT,NFO
30178,14632706,57159,NIFTY22JUN16250CE,NIFTY,0,2022-06-30,16250.0,0.05,50,CE,NFO-OPT,NFO
30179,14632962,57160,NIFTY22JUN16250PE,NIFTY,0,2022-06-30,16250.0,0.05,50,PE,NFO-OPT,NFO
30180,14633218,57161,NIFTY22JUN16300CE,NIFTY,0,2022-06-30,16300.0,0.05,50,CE,NFO-OPT,NFO
30181,14633474,57162,NIFTY22JUN16300PE,NIFTY,0,2022-06-30,16300.0,0.05,50,PE,NFO-OPT,NFO
30182,14633730,57163,NIFTY22JUN16350CE,NIFTY,0,2022-06-30,16350.0,0.05,50,CE,NFO-OPT,NFO
30183,14633986,57164,NIFTY22JUN16350PE,NIFTY,0,2022-06-30,16350.0,0.05,50,PE,NFO-OPT,NFO
30184,14634242,57165,NIFTY22JUN16400CE,NIFTY,0,2022-06-30,16400.0,0.05,50,CE,NFO-OPT,NFO
30185,14634498,57166,NIFTY22JUN16400PE,NIFTY,0,2022-06-30,16400.0,0.05,50,PE,NFO-OPT,NFO
30186,14634754,57167,NIFTY22JUN16450CE,NIFTY,0,2022-06-30,16450.0,0.05,50,CE,NFO-OPT,NFO
30187,14635010,57168,NIFTY22JUN16450PE,NIFTY,0,2022-06-30,16450.0,0.05,50,PE,NFO-OPT,NFO
30188,9054466,35369,NIFTY22JUN16500CE,NIFTY,0,2022-06-30,16500.0,0.05,50,CE,NFO-OPT,NFO
30189,9054722,35370,NIFTY22JUN16500PE,NIFTY,0,2022-06-30,16500.0,0.05,50,PE,NFO-OPT,NFO
30190,14635266,57169,NIFTY22JUN16550CE,NIFTY,0,2022-06-30,16550.0,0.05,50,CE,NFO-OPT,NFO
30191,14635522,57170,NIFTY22JUN16550PE,NIFTY,0,2022-06-30,16550.0,0.05,50,PE,NFO-OPT,NFO
30192,14635778,57171,NIFTY22JUN16600CE,NIFTY,0,2022-06-30,16600.0,0.05,50,CE,NFO-OPT,NFO
30193,14636034,57172,NIFTY22JUN16600PE,NIFTY,0,2022-06-30,16600.0,0.05,50,PE,NFO-OPT,NFO
30194,14636290,57173,NIFTY22JUN16650CE,NIFTY,0,2022-06-30,16650.0,0.05,50,CE,NFO-OPT,NFO
30195,14636546,57174,NIFTY22JUN16650PE,NIFTY,0,2022-06-30,16650.0,0.05,50,PE,NFO-OPT,NFO
30196,14636802,57175,NIFTY22JUN16700CE,NIFTY,0,2022-06-30,16700.0,0.05,50,CE,NFO-OPT,NFO
30197,14637058,57176,NIFTY22JUN16700PE,NIFTY,0,2022-06-30,16700.0,0.05,50,PE,NFO-OPT,NFO
30198,14637314,57177,NIFTY22JUN16750CE,NIFTY,0,2022-06-30,16750.0,0.05,50,CE,NFO-OPT,NFO
30199,14637570,57178,NIFTY22JUN16750PE,NIFTY,0,2022-06-30,16750.0,0.05,50,PE,NFO-OPT,NFO
30200,14637826,57179,NIFTY22JUN16800CE,NIFTY,0,2022-06-30,16800.0,0.05,50,CE,NFO-OPT,NFO
30201,14638082,57180,NIFTY22JUN16800PE,NIFTY,0,2022-06-30,16800.0,0.05,50,PE,NFO-OPT,NFO
30202,14638338,57181,NIFTY22JUN16850CE,NIFTY,0,2022-06-30,16850.0,0.05,50,CE,NFO-OPT,NFO
30203,14638594,57182,NIFTY22JUN16850PE,NIFTY,0,2022-06-30,16850.0,0.05,50,PE,NFO-OPT,NFO
30204,14638850,57183,NIFTY22JUN16900CE,NIFTY,0,2022-06-30,16900.0,0.05,50,CE,NFO-OPT,NFO
30205,14639106,57184,NIFTY22JUN16900PE,NIFTY,0,2022-06-30,16900.0,0.05,50,PE,NFO-OPT,NFO
30206,14639362,57185,NIFTY22JUN16950CE,NIFTY,0,2022-06-30,16950.0,0.05,50,CE,NFO-OPT,NFO
30207,14639618,57186,NIFTY22JUN16950PE,NIFTY,0,2022-06-30,16950.0,0.05,50,PE,NFO-OPT,NFO
30208,11734018,45836,NIFTY22JUN17000CE,NIFTY,0,2022-06-30,17000.0,0.05,50,CE,NFO-OPT,NFO
30209,11734274,45837,NIFTY22JUN17000PE,NIFTY,0,2022-06-30,17000.0,0.05,50,PE,NFO-OPT,NFO
30210,14639874,57187,NIFTY22JUN17050CE,NIFTY,0,2022-06-30,17050.0,0.05,50,CE,NFO-OPT,NFO
30211,14640130,57188,NIFTY22JUN17050PE,NIFTY,0,2022-06-30,17050.0,0.05,50,PE,NFO-OPT,NFO
30212,14640386,57189,NIFTY22JUN17100CE,NIFTY,0,2022-06-30,17100.0,0.05,50,CE,NFO-OPT,NFO
30213,14640642,57190,NIFTY22JUN17100PE,NIFTY,0,2022-06-30,17100.0,0.05,50,PE,NFO-OPT,NFO
30214,14640898,57191,NIFTY22JUN17150CE,NIFTY,0,2022-06-30,17150.0,0.05,50,CE,NFO-OPT,NFO
30215,14641154,57192,NIFTY22JUN17150PE,NIFTY,0,2022-06-30,17150.0,0.05,50,PE,NFO-OPT,NFO
30216,14641410,57193,NIFTY22JUN17200CE,NIFTY,0,2022-06-30,17200.0,0.05,50,CE,NFO-OPT,NFO
30217,14641666,57194,NIFTY22JUN17200PE,NIFTY,0,2022-06-30,17200.0,0.05,50,PE,NFO-OPT,NFO
30218,14641922,57195,NIFTY22JUN17250CE,NIFTY,0,2022-06-30,17250.0,0.05,50,CE,NFO-OPT,NFO
30219,14642178,57196,NIFTY22JUN17250PE,NIFTY,0,2022-06-30,17250.0,0.05,50,PE,NFO-OPT,NFO
30220,14642434,57197,NIFTY22JUN17300CE,NIFTY,0,2022-06-30,17300.0,0.05,50,CE,NFO-OPT,NFO
30221,14642690,57198,NIFTY22JUN17300PE,NIFTY,0,2022-06-30,17300.0,0.05,50,PE,NFO-OPT,NFO
30222,14642946,57199,NIFTY22JUN17350CE,NIFTY,0,2022-06-30,17350.0,0.05,50,CE,NFO-OPT,NFO
30223,14643202,57200,NIFTY22JUN17350PE,NIFTY,0,2022-06-30,17350.0,0.05,50,PE,NFO-OPT,NFO
30224,14643458,57201,NIFTY22JUN17400CE,NIFTY,0,2022-06-30,17400.0,0.05,50,CE,NFO-OPT,NFO
30225,14643714,57202,NIFTY22JUN17400PE,NIFTY,0,2022-06-30,17400.0,0.05,50,PE,NFO-OPT,NFO
30226,14643970,57203,NIFTY22JUN17450CE,NIFTY,0,2022-06-30,17450.0,0.05,50,CE,NFO-OPT,NFO
30227,14644226,57204,NIFTY22JUN17450PE,NIFTY,0,2022-06-30,17450.0,0.05,50,PE,NFO-OPT,NFO
30228,10766594,42057,NIFTY22JUN17500CE,NIFTY,0,2022-06-30,17500.0,0.05,50,CE,NFO-OPT,NFO
30229,10766850,42058,NIFTY22JUN17500PE,NIFTY,0,2022-06-30,17500.0,0.05,50,PE,NFO-OPT,NFO
30230,14644482,57205,NIFTY22JUN17550CE,NIFTY,0,2022-06-30,17550.0,0.05,50,CE,NFO-OPT,NFO
30231,14644738,57206,NIFTY22JUN17550PE,NIFTY,0,2022-06-30,17550.0,0.05,50,PE,NFO-OPT,NFO
30232,14644994,57207,NIFTY22JUN17600CE,NIFTY,0,2022-06-30,17600.0,0.05,50,CE,NFO-OPT,NFO
30233,14645250,57208,NIFTY22JUN17600PE,NIFTY,0,2022-06-30,17600.0,0.05,50,PE,NFO-OPT,NFO
30234,14645506,57209,NIFTY22JUN17650CE,NIFTY,0,2022-06-30,17650.0,0.05,50,CE,NFO-OPT,NFO
30235,14645762,57210,NIFTY22JUN17650PE,NIFTY,0,2022-06-30,17650.0,0.05,50,PE,NFO-OPT,NFO
30236,14646018,57211,NIFTY22JUN17700CE,NIFTY,0,2022-06-30,17700.0,0.05,50,CE,NFO-OPT,NFO
30237,14646274,57212,NIFTY22JUN17700PE,NIFTY,0,2022-06-30,17700.0,0.05,50,PE,NFO-OPT,NFO
30238,14646530,57213,NIFTY22JUN17750CE,NIFTY,0,2022-06-30,17750.0,0.05,50,CE,NFO-OPT,NFO
30239,14646786,57214,NIFTY22JUN17750PE,NIFTY,0,2022-06-30,17750.0,0.05,50,PE,NFO-OPT,NFO
30240,14647042,57215,NIFTY22JUN17800CE,NIFTY,0,2022-06-30,17800.0,0.05,50,CE,NFO-OPT,NFO
30241,14647298,57216,NIFTY22JUN17800PE,NIFTY,0,2022-06-30,17800.0,0.05,50,PE,NFO-OPT,NFO
30242,14647554,57217,NIFTY22JUN17850CE,NIFTY,0,2022-06-30,17850.0,0.05,50,CE,NFO-OPT,NFO
30243,14647810,57218,NIFTY22JUN17850PE,NIFTY,0,2022-06-30,17850.0,0.05,50,PE,NFO-OPT,NFO
30244,14648066,57219,NIFTY22JUN17900CE,NIFTY,0,2022-06-30,17900.0,0.05,50,CE,NFO-OPT,NFO
30245,14648322,57220,NIFTY22JUN17900PE,NIFTY,0,2022-06-30,17900.0,0.05,50,PE,NFO-OPT,NFO
30246,14648578,57221,NIFTY22JUN17950CE,NIFTY,0,2022-06-30,17950.0,0.05,50,CE,NFO-OPT,NFO
30247,14648834,57222,NIFTY22JUN17950PE,NIFTY,0,2022-06-30,17950.0,0.05,50,PE,NFO-OPT,NFO
30248,14107394,55107,NIFTY22JUN18000CE,NIFTY,0,2022-06-30,18000.0,0.05,50,CE,NFO-OPT,NFO
30249,14107650,55108,NIFTY22JUN18000PE,NIFTY,0,2022-06-30,18000.0,0.05,50,PE,NFO-OPT,NFO
30250,14649090,57223,NIFTY22JUN18050CE,NIFTY,0,2022-06-30,18050.0,0.05,50,CE,NFO-OPT,NFO
30251,14649346,57224,NIFTY22JUN18050PE,NIFTY,0,2022-06-30,18050.0,0.05,50,PE,NFO-OPT,NFO
30252,14649602,57225,NIFTY22JUN18100CE,NIFTY,0,2022-06-30,18100.0,0.05,50,CE,NFO-OPT,NFO
30253,14649858,57226,NIFTY22JUN18100PE,NIFTY,0,2022-06-30,18100.0,0.05,50,PE,NFO-OPT,NFO
30254,14650114,57227,NIFTY22JUN18150CE,NIFTY,0,2022-06-30,18150.0,0.05,50,CE,NFO-OPT,NFO
30255,14650370,57228,NIFTY22JUN18150PE,NIFTY,0,2022-06-30,18150.0,0.05,50,PE,NFO-OPT,NFO
30256,14650626,57229,NIFTY22JUN18200CE,NIFTY,0,2022-06-30,18200.0,0.05,50,CE,NFO-OPT,NFO
30257,14650882,57230,NIFTY22JUN18200PE,NIFTY,0,2022-06-30,18200.0,0.05,50,PE,NFO-OPT,NFO
30258,14651138,57231,NIFTY22JUN18250CE,NIFTY,0,2022-06-30,18250.0,0.05,50,CE,NFO-OPT,NFO
30259,14651394,57232,NIFTY22JUN18250PE,NIFTY,0,2022-06-30,18250.0,0.05,50,PE,NFO-OPT,NFO
30260,14651650,57233,NIFTY22JUN18300CE,NIFTY,0,2022-06-30,18300.0,0.05,50,CE,NFO-OPT,NFO
30261,14651906,57234,NIFTY22JUN18300PE,NIFTY,0,2022-06-30,18300.0,0.05,50,PE,NFO-OPT,NFO
30262,14652162,57235,NIFTY22JUN18350CE,NIFTY,0,2022-06-30,18350.0,0.05,50,CE,NFO-OPT,NFO
